Product	Category	Description	Quantity (Stock)	Rating (x/10)	Price	ID
Intelligent i33 9600k	Electronics	A mid range CPU to carry out your basic task with 4 cores and 8 threads	23	9.0	$149.99	125
Advanced mini devices Rizen R9 9900x	Electronics	A 512 core 1024 thread CPU from Advanced Mini Devices	18	9.4	$399.99	126
Blueberry pi 4	Electronics	A ARM processor board to prototype your creations	12	9.3	$99.99	127
MxRacer Gaming chair	Home	A Comfortable gaming chair that all the pros use!	9	7.1	$349.99	128
E-Sports Fuel	Health	An energy powder for your gaming needs	43	8.5	$19.99	129
20's CD Player	Electronics	A CD player that shouldn't exist but does the job.	20	8.2	$49.00	201
Wireless Earphone ATO	Electronics	Cordless evolutionary earphones.	32	6.0	$317.00	202
Vintage Lanyard	Tools	For people who want to be cool and different.	97	8.1	$63.00	203
Triangle Chalkboard	Education	A regular 5 by 5 calkboard but it is a triangle.	10	8.5	$5.00	204
Mighty Mouse Pad	Electronics	A nice home for your lonely mouse.	3	1.1	$7.00	205
Rechargable Batteries A++	Electronics	Batteries that you can recharge but only with A++.	12	1.3	$200.00	206
The Bible for Dummies	Education	The book the summarizes the bible so you dont have to.	52	1.3	$1,192.00	207
Yellow Water Bottle	Kitchen	Are you thirsty? This can hold water for you.	12	7.7	$10.00	208
Sad Face Stickers	Entertainment	Are you an estranged artist? Yes? No? Either way this is for you	76	1.0	$90.00	209
Chess Remastered	Entertainment	A classic version of the game but with more instructions	4	9.1	$1,473.00	210
Checkers Classic	Entertainment	The old game of checkers that you grew up with or not. We do not know you.	74	5.9	$69.00	211
LG Expresso Machine	Kitchen	Expresso Machine that is conected to the WiFi. Enjoy	2	4.2	$1,400.00	212
Bleeding Blender	Kitchen	Destroy all your items and/or foods here	58	6.7	$65.00	213
Vinyl Player Modernized	Electronics	Play music like an old person while still being cool	73	4.5	$317.00	214
Augustine's Baked Chips	Kitchen	They never expire! The taste is questionable.	34	9.0	$129.00	215
Willy Wonka T-Shirt XL	Clothing	Comfortable shirt that is useful for sleeping	88	4.3	$1,249.00	216
Kid Wagon BFC	Entertainment	A red wagon to entertain your closest child near you.	91	1.8	$23.00	217
Portable Charger LD	Electronics	Holds up to 48 hours of battery life!	36	8.2	$58.00	218
Music Note Stickers	Entertainment	Make any item emit music notes.	123	6.5	$1,440.00	219
Cookie Monster Beanie	Clothing	A size that fits all and is more stylish than anyone you know.	73	7.1	$1,173.00	220
Origami Tool Set	Entertainment	Bored? Want to fold some paper to pass time? This is for you	21	5.0	$97.00	221
Big Bird's Adventures	Education	A children's book to help them read	29	0.1	$1,384.00	222
How to ace your soul crushing class	Education	A student's guide to survival and all things truthful	77	9.1	$897.00	223
Can't cook? Learn	Education	This book leaves no excuse for bad cooks	6	6.6	$40.00	224
Deep Fryer for Fries	Kitchen	A fryer that should be used for frys but we can't tell you what to do	532	7.9	$82.00	225
Rhombus Glass Jar	Kitchen	A jar to keep all kinds of things in	34	8.2	$1,410.00	226
Poems: For the Depressed	Education	Poems for the low	531	7.2	$215.00	227
Learn How to be Better	Education	A self-help book designed to make you better because you need it	34	4.5	$820.00	228
Pocket Mixer	Kitchen	A mini mixer to use in your kitchen	67	9.9	$598.00	229
Star Cake Molds	Kitchen	Molds to make any star shaped dessert	69	2.9	$1,296.00	230
Masks: Not for the Meak	Clothing	Masks to prevent diseases and death	19	9.6	$66.00	231
Tortuga's Bicycle	Sports	A bike that is covered with turtle prints	21	8.5	$716.00	232
Vibrating Neck Pillow	Health	A pillow to relax and wind down with	83	3.6	$18.00	233
Massage Slippers	Health	A relaxing way to cool down after a long day. Hand wash only	47	3.0	$39.00	234
Weighted Blanket 	Health	25 pounds full of good sleep	42	5.5	$49.00	235
Agreeable Knife Set	Kitchen	A knife for all types of food in your kitchen	81	5.8	$17.00	236
Caring Measuring Cup	Kitchen	Measure in ounces and cups	226	6.8	$13.00	237
Agressive Can Opener	Kitchen	To open all kinds of metal cans	317	8.3	$176.00	238
Beguiling Cheese Grater	Kitchen	A foot long cheese grater with 3 sides	660	5.4	$1,205.00	239
Key Pocket Wine Opener	Kitchen	A portable wine opener for all occasions	127	6.8	$127.00	240
Teal Pitchforks	Entertainment	Teal pitchfork to excite any event	707	4.5	$353.00	241
Mini Keyboard (4 keys)	Entertainment	A child's toy to keep them busy so you can be productive	413	8.7	$13.00	242
Bacon Trash Bin	Health	A festive trash bin to remind you of the good times while throwing away trash	227	5.4	$20.00	243
Tim's Tongs	Kitchen	Ordinary kicthen tongs to move your culinary goods.	142	6.2	$77.00	244
Mouse Ears XL	Clothing	Mouse like ears that you can put on to make your dreams come true.	192	1.0	$14.00	245
Waffle Press (Patrick)	Kitchen	Waffles made to look like patrick starr	47	6.0	$11.00	246
Sterile Knife Sharpener 	Tools	A tool to keep your knives sharp and ready to use	305	9.8	$105.00	247
Green Baking Tray	Kitchen	A rectangular baking tray to bake food in	38	0.0	$73.00	248
Rubber Sushi Stress Balls	Entertainment	Stress balls to help manage your ticks and stresses	259	6.6	$28.00	249
Turtle Metal Straw	Kitchen	A metal straw to help reduce plastic and it has a turtle buddy for you on your lonely days.	251	1.1	$36.00	250
Plastics Straws	Kitchen	A package of 100 plastic straws in case you do not like turtles	761	3.2	$14.00	251
4 Panel Toasty Toaster	Kitchen	A toaster with a variety of settings that can toast 4 toasts at once	242	7.2	$36.00	252
Lemon Pepper Spray	Tools	A self defense spray with a little more style	26	3.0	$25.00	253
Duck Pillow	Health	A duck buddy to use as a pillow when you are feeling down	6	0.4	$27.00	254
Catapiller Robe	Clothing	A bathroom robe that fits most sizes and has lots of catepillars	286	8.2	$17.00	255
Black Handkerchief	Clothing	A standard black handkerchief	124	1.6	$46.00	256
Cardigan M 	Clothing	A medium cardigan so people can say it was your favorite one.	222	8.0	$294.00	257
Barney Mittens	Clothing	Ever wanted to cook but also be a dinosaur? Now you can	403	0.1	$120.00	258
Bandaids: Star Shaped	Health	Bandaids to act like stars around your scars	181	2.5	$38.00	259
Peter's Pan Set	Kitchen	A set of pans that comes in 5 different sizes	634	8.7	$114.00	260
Fire Blanket	Tools	To help protect aganist fire in the event of an incident	143	1.9	$25.00	261
Shopping Bag XXL	Tools	A resuable and sustainable way to shop	98	6.3	$18.00	262
Purple Porch Light	Tools	Regular porch lights are boring so why not make them purple?	288	5.3	$155.00	263
Go Away Mat	Home	Like a welcome mat but you do not want to welcome them	326	4.5	$49.00	264
Siren Door Bell	Home	Regular door bell but its the purge.	870	1.8	$1,244.00	265
Landscape Rug	Home	An interior rug that show the lnadscape of a green countryside. Has indents and curves	41	5.3	$465.00	266
Coffee Mug: Dying Earth 	Kitchen	A coffee mug thats shows an image of pollution to remind you of what you've done	150	0.2	$62.00	267
Glow in the Dark Puzzle	Entertainment	A 1000 piece puzzle that glows in the dark.	11	6.5	$1,143.00	268
Rapid Razors	Health	Razor that comes with one blade	698	6.6	$408.00	269
Portrait of a Cherry	Home	An artistic view of a cherry because they too deserve the spotlight	24	8.7	$744.00	270
Enemy Plunger	Home	A plunger that you can pretend is your worst enemy	111	2.5	$8.00	271
Respect Pills	Health	Supplements to take when you've gone a bit too far or are not a good person	507	0.4	$995.00	272
Carribean Jellybean	Health	A single jellybean that tastes like the the carribean and it never expires	681	4.5	$1,026.00	273
Jorge's Magnets	Entertainment	Horse show magnets for all types of activities	123	9.9	$175.00	274
Used Wipes (Recycled)	Tools	Wipes but instead of making somehting clean you make something dirty	143	6.2	$777.00	275
Fake Blood	Entertainment	All types of use from costume looks to a daily aesthetic	351	3.6	$807.00	276
Stale Slime	Entertainment	Slime that discourages people fro eatinfg it because it is stale	866	2.3	$794.00	277
5' Binder Blue	Tools	A large binder to store all of your school work	444	1.9	$763.00	278
Earth Pods	Electronics	A knock off version of air and water pods	208	5.6	$978.00	279
Fireworks: Mickey Mouse	Entertainment	Fireworks that form in the shape of the famous rat	162	2.1	$162.00	280
Bald Cap	Clothing	A cap to make yourself bald without the commitment	142	6.0	$18.00	281
Walnut Bag	Home	A bag to carry all your walnut needs	209	0.5	$726.00	282
Pinocchio (Extended Version)	Entertainment	You can now see all the deleted scence to this questionable classic	82	0.6	$751.00	283
Fairly Lit Fairy Lights 	Home	Fairy lights to light up places where it is usually dark	938	9.5	$94.00	284
Smooth Southern Swatchs	Clothing	A second watch to put on your wrist when your primary one gets lonely	254	9.2	$69.00	285
Triple Bow Tie	Clothing	A layered bow tie to put on yourself when the occasion is three times more special	599	2.4	$1,467.00	286
Second Aid Kit	Health	An aid kit that isnt as good as the first but still better than nothing	360	1.8	$353.00	287
Bug Duster	Home	A mini vaccum to suck up bugs	475	5.3	$26.00	288
Egg Beater	Kitchen	An egg mixer to fluff up your eggs for deserts or breakfast meals	27	1.2	$89.00	289
Printed Paw Stamper	Tools	A stamper in the shape of a paw (does not include ink)	485	7.9	$715.00	290
Teapot (Ms.)	Kitchen	A teapot to help you pour some tea or coffee. We can not control you	346	6.7	$63.00	291
Shakespeare's Flops	Education	Julius who? Henry huh? Richard the second? There shouldn't have been a first	610	1.4	$66.00	292
Bad Vibes Repellent	Tools	Spray as need to other people and yourself	216	4.8	$1,455.00	293
Brad's Bingo Game	Entertainment	A bingo game but make it the brad version	271	4.4	$186.00	294
Oversized Teal Suit	Clothing	A suit in the color teal	184	0.5	$648.00	295
Electric Fly Assassinator	Tools	A fly swatter that crackles each thing a fly lands upon it	822	3.9	$92.00	296
Crime Clean Up Set	Tools	A set that contains bleach, gloves, trash bags, and everthing you can imagine.	589	4.0	$871.00	297
Glasses Because You Are Blind	Tools	To assist you in reading and all your seeing needs	54	0.3	$86.00	298
Daily Disavowals	Education	Kind of like affirmations but these keep you humble	24	9.4	$1,414.00	299
Cardboard Box: Adults, Kids, Cats	Entertainment	A fun toy for all ages. You are only limited by your mind	312	5.9	$83.00	300
Big Boy Diamond	Clothing	Want to impress your friends? This diamond is top-of-the-line 	1	10.0	$100,000.00	301
Custom PC (with RTX 3080)	Electronics	This custom pc comes with 16gb RAM, 2 Terabytes of storage, and a sick case!	4	9.2	$2,550.00	302
Big Brain Pills	Health	Enlarges your brain, allowing you to complete the millions of computer science assignments in only 8 hours!	500	9.8	$65.00	303
How to Code Book (13th Edition)	Education	This textbook teaches you the basics of C++ and Java, including inheritance and Object-Oriented Programming	47	7.3	$50.00	304
Dr. Cerny's SE TextBook	Education	Written by the best, this textbooks explains how to write various UML Diagrams	1	10.0	$400,000.00	305
Apex Heroes	Electronics	This digital product gives you access to dive into this action-packed Battle Royale today! 	999999	6.5	$59.99	306
Pog Lamp	Home	A lamp that provides superior brightness to any room!	50	4.3	$20.00	307
Used Basketball	Sports	A deflated, dirty basketball.	1	1.2	$1.00	308
Giant EpiPen	Health	Treat allergic reactions fast with this massive EpiPen	5792	8.1	$100.00	318
Book for Computer Science Students	Education	This book will teach you how to get through the stress of being a computer science student	1814	3.5	$14.99	325
Legoz	Education	Creative blocks to put together, based on provided instructions. Or simply create your own masterpiece!	2390	9.4	$19.99	326
